shona,luo
"Rameki akazotaura mashoko aya kumadzimai ake Adha naZira: “Inzwai inzwi rangu, imi madzimai aRameki; Teererai zvandiri kutaura: Ndakauraya munhu nekuti akandikuvadza, Iro jaya, nekuti rakandirova.","Lamek ne owero wendni ne Ada gi Zila: “Un mond Lamek, winjuru dwonda; Chiknauru itu: Asenego ng’ato nikech ne ohinya, Adier, wuoyi moro nikech ne ogoya."
"Kana anouraya Kaini achifanira kutsiviwa ka7, Anouraya Rameki anofanira kutsiviwa ka77.”","Ka Kain ibiro chulne kuor nyadi 7, To Lamek ibiro chulne kuor nyadi 77.”"
"Adhamu akararazve nemudzimai wake, akabereka mwanakomana. Mudzimai wacho akamutumidza kuti Seti nekuti aiti, “Mwari andipa mumwe mwana anotsiva Abheri, nekuti akaurayiwa naKaini.”","Adam ne oriwore gi chiege kendo, mi onyuolo wuoyi. Chiege ne ochako wuoyino ni Seth, nikech ne owacho ni “Nyasaye osemiya kodhi moro kar Habil ma Kain nonego.”"
"Seti akavawo nemwanakomana, akamutumidza kuti Inoshi. Panguva iyoyo vanhu vakatanga kudana zita raJehovha.",Seth bende ne onyuolo wuoyi ma ochake ni Enos. E kindeno e ma ji nochako luongo nying Jehova.
"Iyi ndiyo nhoroondo yaAdhamu yakanyorwa. Pazuva rakasikwa Adhamu naMwari, akamusika akafanana naMwari.","Ma e sigand Adam. Ka ne Nyasaye ochueyo Adam, ne ochueye e kido machal kode."
"Akavasika munhurume nemunhukadzi. Pazuva ravakasikwa, akavakomborera, akavatumidza kuti Munhu.","Ne ochueyo dichwo gi dhako, kendo chieng’no e ma ne oguedhogie mi oluongogi ni Dhano."
"Adhamu paakanga ava nemakore 130, akabereka mwanakomana akafanana naye, akamutumidza kuti Seti.",Adam ne jahigni 130 ka ne onyuolo wuoyi machal kode. Nochako wuoyino ni Seth.
"Pashure pekubereka Seti, Adhamu akazorarama makore 800. Uye akabereka vanakomana nevanasikana.","Bang’ nyuolo Seth, Adam nodak kuom higni 800, kendo ne onyuolo yawuoyi gi nyiri."
"Saka pamwe chete, mazuva aAdhamu aakararama akasvika makore 930, achibva afa.","Omiyo, Adam ne otho ka ojahigni 930."
"Seti akararama makore 105, achibva abereka Inoshi.",Seth ne jahigni 105 ka ne onyuolo Enos.
"Abereka Inoshi, Seti akararama makore 807. Uye akabereka vanakomana nevanasikana.","Bang’ nyuolo Enos, Seth ne odak kuom higni 807, kendo ne onyuolo yawuoyi gi nyiri."
"Saka pamwe chete, mazuva aSeti akasvika makore 912, achibva afa.","Omiyo, Seth ne otho ka ojahigni 912."
"Inoshi akararama makore 90, achibva abereka Kinani.",Enos ne jahigni 90 ka ne onyuolo Kenan.
"Abereka Kinani, Inoshi akararama makore 815. Uye akabereka vanakomana nevanasikana.","Bang’ nyuolo Kenan, Enos ne odak kuom higni 815, kendo ne onyuolo yawuoyi gi nyiri."
"Saka pamwe chete, mazuva aInoshi akasvika makore 905, achibva afa.","Omiyo, Enos ne otho ka ojahigni 905."
"Kinani akararama makore 70, achibva abereka Maharareri.",Kenan ne jahigni 70 ka ne onyuolo Mahalalel.
"Abereka Maharareri, Kinani akararama makore 840. Uye akabereka vanakomana nevanasikana.","Bang’ nyuolo Mahalalel, Kenan ne odak kuom higni 840, kendo ne onyuolo yawuoyi gi nyiri."
"Saka pamwe chete, mazuva aKinani akasvika makore 910, achibva afa.","Omiyo, Kenan ne otho ka ojahigni 910."
"Maharareri akararama makore 65, achibva abereka Jaredhi.",Mahalalel ne jahigni 65 ka ne onyuolo Jared.
"Abereka Jaredhi, Maharareri akararama makore 830. Uye akabereka vanakomana nevanasikana.","Bang’ nyuolo Jared, Mahalalel ne odak kuom higni 830, kendo ne onyuolo yawuoyi gi nyiri."
"Saka pamwe chete, mazuva aMaharareri akasvika makore 895, achibva afa.","Omiyo, Mahalalel ne otho ka ojahigni 895."
"Jaredhi akararama makore 162, achibva abereka Inoki.",Jared ne jahigni 162 ka ne onyuolo Enok.
"Abereka Inoki, Jaredhi akararama makore 800. Uye akabereka vanakomana nevanasikana.","Bang’ nyuolo Enok, Jared ne odak kuom higni 800, kendo ne onyuolo yawuoyi gi nyiri."
"Saka pamwe chete, mazuva aJaredhi akasvika makore 962, achibva afa.","Omiyo, Jared ne otho ka ojahigni 962."
"Inoki akararama makore 65, achibva abereka Metusera.",Enok ne jahigni 65 ka ne onyuolo Methusela.
"Abereka Metusera, Inoki akaramba achifamba naMwari wechokwadi kwemakore 300. Uye akabereka vanakomana nevanasikana.","Bang’ nyuolo Methusela, Enok ne odhi nyime wuotho gi Nyasaye madier kuom higni 300, kendo ne onyuolo yawuoyi gi nyiri."
"Saka pamwe chete, mazuva aInoki akasvika makore 365.","Omiyo, Enok ne odak kuom higni 365."
"Inoki akaramba achifamba naMwari wechokwadi. Uye haana kuzoonekwa, nekuti Mwari akamutora.","Ne odhi nyime wuotho gi Nyasaye madier. Bang’e, Nyasaye ne okawe, kendo ne ok ochak onene."
"Metusera akararama makore 187, achibva abereka Rameki.",Methusela ne jahigni 187 ka ne onyuolo Lamek.
"Abereka Rameki, Metusera akararama makore 782. Uye akabereka vanakomana nevanasikana.","Bang’ nyuolo Lamek, Methusela ne odak kuom higni 782, kendo ne onyuolo yawuoyi gi nyiri."
"Saka pamwe chete, mazuva aMetusera akasvika makore 969, achibva afa.","Omiyo, Methusela ne otho ka ojahigni 969."
"Rameki akararama makore 182, achibva abereka mwanakomana.",Lamek ne jahigni 182 ka ne onyuolo wuode.
"Akamutumidza kuti Noa, achiti: “Uyu achatizorodza pabasa redu nepakushanda zvakaoma kwatiri kuita nemaoko edu nemhaka yekuti ivhu rakatukwa naJehovha.”",Ne ochako wuodeno ni Noa kowacho niya: “Wuoyini e ma biro duogo chunywa kuom tich matek moseket kuomwa nikech kuong’ ma Jehova osekuong’ogo lowo.”
"Abereka Noa, Rameki akararama makore 595. Uye akabereka vanakomana nevanasikana.","Bang’ nyuolo Noa, Lamek ne odak kuom higni 595, kendo ne onyuolo yawuoyi gi nyiri."
"Saka pamwe chete, mazuva aRameki akasvika makore 777, achibva afa.","Omiyo, Lamek ne otho ka ojahigni 777."
"Paakanga ava nemakore 500, Noa akabereka Shemu, Hamu, naJafeti.","Ka ne Noa jahigni 500, ne ochako nyuolo nyithindo. Ne onyuolo Shem, Ham, kod Jafeth."
"Vanhu pavakatanga kuwanda panyika uye pavaibereka vanasikana,","Koro, ka ji ne ochako medore e piny, kendo nyuolo nyiri,"
vanakomana vaMwari wechokwadi vakatanga kuona kuti vanasikana vevanhu vakanga vakanaka. Saka vakatanga kutora vese vavainge vada vachivaita madzimai avo.,"yawuot Nyasaye madier ne ochako neno ni nyi dhano ne gin jochia. Omiyo, ne gikawo nyiri duto ma ne giyiero obed mondegi."
"Jehovha akabva ati: “Handisi kuzongosiya munhu akadaro nekusingaperi, nekuti anongova zvake wenyama. Saka mazuva ake achasvika makore 120.”","Eka Jehova nowacho niya: “Rohona ok bi hore gi dhano nyaka chieng’, nikech en mana ringruok. Kuom mano, ndalone nobed higni 120.”"
"Mumazuva iwayo uye pashure pacho, panyika paiva nevaNefirimu. Nguva iyoyo vanakomana vaMwari wechokwadi vakaramba vachirara nevanasikana vevanhu, uye vanasikana ivavo vaivaberekera vanakomana. Ava ndivo vanhu vekare vaiva nesimba, varume vaiva nemukurumbira.",Jo-Nefili ne nie piny e ndalogo kadhi nyime. Yawuot Nyasaye ne odhi nyime riwore gi nyi dhano kendo nyuolo yawuoyi. Yawuoyigo ne gin jo ma thuondi kendo ma rahuma e ndalogo.
Saka Jehovha akaona kuti uipi hwemunhu hwakanga hwanyanya panyika uye kuti zvese zvaaifunga uye zvaiva mumwoyo make zvakanga zvakangoipa nguva dzese.,"Jehova ne oneno kaka richo ne osepong’o piny, kendo kaka pach dhano kod chunye ne gombo mana timo richo kinde duto."
"Jehovha akademba kuti akanga aita vanhu panyika, uye mwoyo wake wakarwadziwa.","Eka Jehova nowinjo malit e chunye nikech ne osechueyo dhano, mi chunye nochandore nikech wachno."
"Saka Jehovha akati: “Ndichabvisa panyika vanhu vandakasika, vanhu pamwe chete nezvipfuwo, mhuka dzinokambaira, uye zvisikwa zvekudenga zvinobhururuka, nekuti ndinodemba kuti ndakazvisika.”","Omiyo, Jehova nowacho kama: “Abiro tieko dhano ma asechueyo oa e wang’ piny, kaachiel gi jamni kod le manie bungu, gi le mamol, kod gik ma fuyo e kor polo, nikech di ne obedo maber ka di ne ok achueyogi.”"
Asi Noa akanzwirwa nyasha naJehovha.,To Noa e ma noyudo ng’wono e wang’ Jehova.
Iyi ndiyo nhoroondo yaNoa. Noa akanga ari munhu akarurama. Akanga asina mhosva pakati pevanhu venguva yake. Noa akafamba naMwari wechokwadi.,"Ma e sigand Noa. Noa ne en ng’at makare, kendo ne oonge ketho e tieng’ ma nodakie. Noa ne owuotho gi Nyasaye madier."
"Nekufamba kwenguva, Noa akabereka vanakomana vatatu, Shemu, Hamu, naJafeti.","Ne onyuolo yawuoyi adek ma nyingegi Shem, Ham, kod Jafeth."
"Asi Mwari wechokwadi akaona kuti nyika yakanga yaora, uye kuti yakanga yazara nekurwisana.","Nyasaye noneno ni piny duto ne osekethore, kendo ne opong’ gi timbe mag mahundu."
"Zvechokwadi Mwari akatarisa nyika, akaona kuti yakanga yaora; nzira yemunhu wese yakanga yashata panyika.","Adier, ne oneno ni piny duto ne osenjawore nikech ji duto ne timo richo."
"Mwari akazoti kuna Noa: “Ndafunga kuparadza nyama yese, nekuti vanhu vaita kuti panyika pazare nekurwisana, saka ndiri kuvaparadza pamwe chete nenyika.","Eka Nyasaye nowacho ne Noa niya: “Aseng’ado ni abiro tieko dhano duto, abiro negogi duto nikech gisepong’o piny gi timbe maricho. Kuom mano, abiro ketho ji kaachiel gi piny."
"Zvigadzirire areka nemuti unobudisa zvinonama. Uikamure-kamure mukati mayo, woinama netara mukati nekunze.","Omiyo, los yie gi yiend gofer. Ibiro pogo iye, kae to imwone gi lam iye gi oko."
"Aya ndiwo magadziriro auchaiita: Areka yacho inofanira kunge yakareba makubhiti 300, yakafara makubhiti 50, uye yakakwirira makubhiti 30.","Ma e kaka ibiro lose: Borne nobed bede 300, lachne bede 50, to tutne nobed bede 30."
"Uchagadzira hwindo rinopinza chiedza muareka, kubhiti rimwe chete kubva kumusoro. Unofanira kuisa suo reareka parutivi payo uye woigadzira iine nhurikidzwa yepasi, yechipiri neyechitatu.","Ibiro ketone dirisa ma kelo ler bat achiel ka ia e tado. Bende, iketne dhoot e bathe konchiel, kendo ilose obed moluowore, tiende ni obed gi ot ma piny, ma diere, kod ma malo."
“Ini ndichaunza mafashamo panyika kuti ndiparadze nyama yese ine upenyu iri pasi pedenga. Zvese zviri panyika zvichaparara.,“Abiro kelo ataro e piny mondo oneg gik mangima duto. Gimoro amora manie piny biro tho.
"Uye ndiri kuita sungano yangu newe, uye unofanira kupinda muareka nevanakomana vako, nemudzimai wako, nemadzimai evanakomana vako vauinavo.","To in e ma atimo kodi singruok, kendo inidonj e yie, in gi chiegi, gi yawuoti, kod mond yawuoti."
"Uye pinza muareka zvisikwa zvese zvipenyu zviri zviviri zviviri, chikono nechikadzi, kuti zvichengetedzwe zviri zvipenyu pamwe chete newe;","Kuom koth le ka koth le, ibiro kawo ma dichwo gi ma dhako kendo irwakgi e yie. Initim kamano mondo ires ngimagi."
"zvisikwa zvinobhururuka, maererano nemarudzi azvo, nezvipfuwo, maererano nemarudzi azvo, nezvese zvinokambaira panyika, maererano nemarudzi azvo, zvinofanira kupinda imomo maunenge uri zviri zviviri zviviri kuti zvichengetedzwe zviri zvipenyu.","Ibiro rwako gik ma fuyo ma kothgi opogore opogore, gi le ma ipidho ma kothgi opogore opogore, kod le mamol ma kothgi opogore opogore. Gibiro donjo ariyo ariyo kendo inires ngimagi."
"Asi iwe, unofanira kuunganidza zvekudya zvemarudzi ese, kuti zvizova zvekudya zvako nezvemhuka.”",Inikaw bende kit chiemo mopogore opogore ma ubiro chamo gi lego.”
Noa akaita zvese zvaakanga arayirwa naMwari. Akaita izvozvo chaizvo.,Noa notimo gik moko duto ma Nyasaye ne ochike. Notimo mana kamano.
"Pashure paizvozvo Jehovha akati kuna Noa: “Pinda muareka, iwe nemhuri yako yese, nekuti ndiwe wandaona kuti wakarurama pakati pechizvarwa ichi.","Bang’ mano, Jehova nowacho ne Noa niya: “Donj e yie, in kaachiel gi joodi duto, nikech aseneno ni in kendi e ng’at makare e nyima kuom ji duto modak e tieng’ni."
"Pamhuka dzese dzakachena, unofanira kupinda nenomwe, hono nehadzi; uye pamhuka dzese dzisina kuchena, mbiri chete, hono nehadzi yayo;","Kuom koth le ka koth le maler, inikaw ma chwo abiriyo kod ma mon abiriyo, kendo kuom koth le ka koth le ma ok ler inikaw ma dichwo achiel kod ma dhako bende achiel."
"uyewo pazvisikwa zvinobhururuka zvekudenga unofanira kupinda nezvinomwe, zvikono nezvikadzi, kuti uchengetedze rudzi rwazvo ruri rupenyu panyika yese.",Bende kuom koth gimoro amora ma fuyo inikaw ma chwo abiriyo gi ma mon abiriyo mondo kothgi kik lal e piny.
"Nekuti kwangosara mazuva manomwe chete kuti ndinayise mvura panyika kwemazuva 40 neusiku 40, uye ndichaparadza panyika zvinhu zvese zvipenyu zvandakasika.”","Nikech bang’ ndalo abiriyo anakel koth e piny kuom ndalo 40 odiechieng’ gotieno, kendo anatiek gik moko duto mangima ma asechueyo e piny.”"
Noa akabva aita zvese zvaakanga arayirwa naJehovha.,Noa notimo gik moko duto ma Jehova ne ochike.
Noa akanga ava nemakore 600 pakauya mafashamo panyika.,Noa ne jahigni 600 ka ne ataro mar pi opong’o piny.
"Saka Noa, nevanakomana vake, nemudzimai wake, nemadzimai evanakomana vake, vakapinda muareka mafashamo asati auya.","Ne odonjo e yie gi chiege, gi yawuote, kod mond yawuote ka pok atarono ochakore."
"Pamhuka dzese dzakachena, nepamhuka dzese dzisina kuchena, nepazvisikwa zvinobhururuka, nepazvese zvinofamba panyika,","Bende, le maler gi le ma ok ler kaachiel gi gik ma fuyo kod le mamol,"
"pakapinda zviviri zviviri muareka maiva naNoa, chikono nechikadzi, sezvakanga zvarayirwa Noa naMwari.","ne odonjo ariyo ariyo e yie ir Noa. Ne gidonjo ma dichwo gi ma dhako, mana kaka Nyasaye nosechiko Noa."
Uye pashure pemazuva manomwe mafashamo akabva atanga panyika.,Kendo bang’ ndalo abiriyo pi nochako pong’o piny.
"Mugore rakasvitsa Noa makore 600, mumwedzi wechipiri, pazuva rechi17 remwedzi iwoyo, zvitubu zvese zvikuru zvemvura yakadzika zvakavhurika uye magedhi emvura ekudenga akavhurwa.","E Odiechieng’ mar 17 dwe mar ariyo ka Noa ne jahigni 600, sokni duto manie bwo nembe madongo ne omuoch, kendo rangeye mag polo ne oyawore."
Uye mvura yakatsvotsvoma panyika kwemazuva 40 neusiku 40.,Mi koth ne ochue e piny kuom ndalo 40 odiechieng’ gi otieno.
"Pazuva iroro chairo, Noa akapinda muareka nevanakomana vake, Shemu, Hamu, naJafeti, nemudzimai wake, nemadzimai matatu evanakomana vake.","Odiechiengno e ma Noa, gi yawuote adek ma nyingegi Shem, Ham, kod Jafeth, gi chiege, kaachiel gi mond yawuote nodonjo e yie."
"Vakapinda nemhuka dzese dzemusango maererano nemarudzi adzo, nezvipfuwo zvese maererano nemarudzi azvo, nezvinokambaira zvese zvepanyika maererano nemarudzi azvo, nezvisikwa zvese zvinobhururuka maererano nemarudzi azvo, shiri dzese, zvisikwa zvese zvine mapapiro.","Ne gidonjo kaachiel gi le mag bungu ma kothgi opogore opogore, le mipidho ma kothgi opogore opogore, le mamol ma kothgi opogore opogore, gi gik ma fuyo ma kothgi opogore opogore, gi winy, kaachiel gi gik moko duto ma nigi buombegi."
"Zvisikwa zvemarudzi ese zvine upenyu zvakaramba zvichipinda muareka maiva naNoa, zviri zviviri zviviri.",Koth gik mangimago ne donjo ariyo ariyo e yie ka ma Noa ne nitie.
"Saka zvisikwa zvemarudzi ese zvakapinda, chikono nechikadzi, sezvaakanga arayirwa naMwari. Pashure paizvozvo Jehovha akavhara suo.","Gik mangimago ne odonjo giduto e yie, ma chwo kod ma mon, mana kaka Nyasaye ne osechiko Noa. Bang’ mano, Jehova ne oloro dhoot."
"Mvura yemafashamo yakaramba ichinaya panyika kwemazuva 40, uye yakaramba ichiwedzera, ikatanga kutakura areka, ikaisimudza pamusorosoro penyika.","Pi ne omedore e piny kuom ndalo 40, kendo pigego nochako ting’o yie, mi yie ochako lewore e wi pi."
"Mvura yakawanda kwazvo uye yakaramba ichiwedzera zvikuru panyika, asi areka yaingoyangarara pamusoro pemvura.","Pigno nomedore ameda e wi piny, kendo yie ne lewore alewa e wi pi."
Mvura yakawanda kwazvo panyika zvekuti makomo ese marefu ari pasi pedenga akafukidzwa.,"Pi nomedore moimo piny, kendo noimo nyaka gode duto maboyo manie bwo polo."
Mvura yakafukidza makomo zvekuapfuura nemakubhiti 15.,"Ka pigno noseimo gode maboyogo, ne omedore mochopo bede 15."
"Saka zvisikwa zvese zvipenyu zvaifamba panyika zvakafa, zvisikwa zvinobhururuka, zvipfuwo, mhuka dzemusango, tupukanana tunofamba twakawanda, uye vanhu vese.","Omiyo, gik mangima duto ma ne nie piny ne otho, tiende ni gik ma fuyo, le mipidho, le mag bungu, gik mamol, kod dhano duto."
"Zvese zvaiva panyika yakaoma zvaiva nemweya wekufema weupenyu mumhino dzazvo, zvakafa.",Gimoro amora e piny ma ne ngima ne otho.
"Saka akaparadza zvipenyu zvese zvaiva panyika, kusanganisira vanhu, mhuka, mhuka dzinokambaira, uye zvisikwa zvinobhururuka zvekudenga. Zvese zvakaparadzwa panyika; Noa chete nevaaiva navo muareka ndivo vakapona.","Nyasaye ne otieko gik mangimago duto e piny. Ne otieko dhano, gi le, gi le mamol, kaachiel gi gik ma fuyo e kor polo. Noa gi jo ma ne ni kode e yie kende e ma ne otony."
Uye mvura yakaramba yakafukidza nyika kwemazuva 150.,Kendo pige ne obedo e wi piny kuom ndalo 150.
"Asi Mwari akayeuka Noa nemhuka dzese dzemusango nezvipfuwo zvese zvaaiva nazvo muareka, uye Mwari akaita kuti mhepo ivhuvhute panyika, mvura ikabva yatanga kuserera.","Nyasaye ne oparo Noa kaachiel gi le mag bungu kod le mipidho ma ne en-go e yie, mi Nyasaye ne otugo yamo kendo yamono ne okutho e piny mi pi nochako duono."
"Zvitubu zvemvura yakadzika nemagedhi emvura ekudenga zvakavharwa, saka mvura yainaya yakagasa.","Sokni manie bwo nembe madongo kod rangeye mag polo ne olor, kendo koth ne ochok."
"Mvura yaiva panyika yakabva yatanga kuserera zvishoma nezvishoma. Pakazopera mazuva 150, mvura yakanga yadzikira.","Pige ne duono mos mos, kendo bang’ odiechienge 150 pi ne osedok chien."
"Mumwedzi wechi7, pazuva rechi17 remwedzi wacho, areka yakagara pamusoro pemakomo eArarati.","E odiechieng’ mar 17 e dwe mar abiriyo, yie ne ogowo e gode mag Ararat."
"Uye mvura yakaramba ichiserera zvishoma nezvishoma kusvikira mumwedzi wechi10. Mumwedzi wechi10, pazuva rekutanga remwedzi wacho, misoro yemakomo yakatanga kuoneka.","Pi ne omedo duono nyaka e dwe mar apar. E odiechieng’ mokwongo mar dwe mar aparno, wi gode nochako neno."
"Saka pakazopera mazuva 40, Noa akavhura hwindo reareka raakanga agadzira","Omiyo, bang’ ndalo 40, Noa ne oyawo dirisa ma ne oloso e yie,"
"uye akabudisa gunguo. Raipota richibhururuka panze rodzoka, kusvikira mvura yaoma panyika.",mi ooro agak oko. Winyono ne fuyo afuya kae to oduogo e yie nyaka ka ne piny otwo.
Akazobudisa njiva kuti aone kana mvura yakanga yaserera panyika.,"Bang’e, ne ooro akuru mondo ong’ego ka koro pi osedok chien e piny."
"Njiva yakashaya pekumhara, saka yakadzoka kwaari nekuti panyika pakanga pachakazara mvura. Saka akabudisa ruoko rwake, akaipinza muareka.","To akuruno ne ok oyudo ka ma dopie nikech pi pod ne oumo piny duto. Omiyo, akuruno noduogo ir Noa, ma Noa orieyone lwete, mi orwake e yie."
"Akamirira kwemamwe mazuva 7, ndokuzobudisazve njiva yacho muareka.","Ne orito mi ndalo abiriyo okalo, e ka ne ooro akuruno kendo."
"Njiva yacho payakadzoka kumanheru, akaona kuti yakanga yakaruma shizha remuorivhi rakanga richangobva kutanhwa! Noa akabva aziva kuti mvura yakanga yaserera panyika.","Akuruno ne oduogo godhiambo ka oting’o oboke mar zeituni e dhoge, kendo mano ne onyiso Noa ni koro pi nosedok chien."
"Akamirira mamwezve mazuva 7. Akabva abudisa njiva yacho, asi haina kuzombodzokazve kwaari.","Ne orito kendo kuom ndalo abiriyo moko, eka nooro akuruno kendo, to akuruno ne ok oduogo."
"Mugore rechi601, mumwedzi wekutanga, pazuva rekutanga remwedzi wacho, mvura yakanga yapwa panyika; uye Noa akabvisa denga reareka akaona kuti pasi pakanga pava kuoma.","E odiechieng’ mokwongo mar dwe mokwongo, e higa mar 601, ne oyudo ka pige ne oseduono e piny. Noa ne oelo raum mar yie mong’iyo oko, moyudo ka piny ne osechako two."
"Mumwedzi wechipiri, pazuva rechi27 remwedzi wacho, nyika yakanga yaoma.","E odiechieng’ mar 27, e dwe mar ariyo, piny koro nosetwo."
Mwari akabva ati kuna Noa:,Eka Nyasaye nowacho ne Noa niya:
"“Buda muareka, iwe, mudzimai wako, vanakomana vako, nemadzimai evanakomana vako.","“Wuog e yie gi chiegi, gi yawuoti kod mondegi."
